chip_stem,region,sza_bin,raw_otsu,log_otsu,raw_iceberg_frac,log_iceberg_frac,delta_thresh,delta_iceberg_frac
S2A_MSIL1C_20160901T141952_N0500_R096_T25WDS_20230928T053331_r8960_c10240,KQ,sza_lt65,0.4188224673271179,0.4153461568591926,0.462005615234375,0.487274169921875,-0.0034763104679253476,0.0252685546875
S2A_MSIL1C_20160901T141952_N0500_R096_T25WDS_20230928T053331_r8960_c10496,KQ,sza_lt65,0.4960681200027466,0.4838495760812073,0.50604248046875,0.5478515625,-0.01221854392153926,0.04180908203125
S2A_MSIL1C_20160901T141952_N0500_R096_T25WDS_20230928T053331_r9216_c10240,KQ,sza_lt65,0.19028416275978088,0.0010045520660283535,0.900634765625,0.9015045166015625,-0.18927961069375254,0.0008697509765625
S2A_MSIL1C_20160901T141952_N0500_R096_T25WDS_20230928T053331_r9216_c10496,KQ,sza_lt65,0.5194388628005981,0.5149530162708316,0.6929779052734375,0.7199249267578125,-0.0044858465297665795,0.026947021484375
S2A_MSIL1C_20160901T141952_N0500_R096_T25WDS_20230928T053331_r9472_c10496,KQ,sza_lt65,0.0014416015474125743,0.0010805058349004854,0.9281768798828125,0.9281768798828125,-0.0003610957125120889,0.0
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c1536,KQ,sza_lt65,0.2965419888496399,0.26229676971754473,0.0259246826171875,0.0386505126953125,-0.03424521913209516,0.012725830078125
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c1792,KQ,sza_lt65,0.3335917890071869,0.315742140730422,0.0515899658203125,0.055633544921875,-0.017849648276764885,0.0040435791015625
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2048,KQ,sza_lt65,0.3399433493614197,0.3261082366593487,0.040863037109375,0.0430450439453125,-0.013835112702070995,0.0021820068359375
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2304,KQ,sza_lt65,0.2844359278678894,0.2799782637108067,0.10137939453125,0.1071319580078125,-0.004457664157082708,0.0057525634765625
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2560,KQ,sza_lt65,0.4754316210746765,0.44300068424469374,0.058563232421875,0.0657806396484375,-0.03243093682998277,0.0072174072265625
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2816,KQ,sza_lt65,0.29232966899871826,0.28603641683285697,0.522308349609375,0.5434112548828125,-0.006293252165861296,0.0211029052734375
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c3072,KQ,sza_lt65,0.21284353733062744,0.20991447270494695,0.4409942626953125,0.46124267578125,-0.0029290646256804886,0.0202484130859375
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c1792,KQ,sza_lt65,0.2731249928474426,0.26435906599654074,0.0228271484375,0.024749755859375,-0.008765926850901884,0.001922607421875
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2048,KQ,sza_lt65,0.3126542866230011,0.3036142935751895,0.0279693603515625,0.02947998046875,-0.009039993047811612,0.0015106201171875
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2304,KQ,sza_lt65,0.2444380819797516,0.24168652656393227,0.1033477783203125,0.1105804443359375,-0.0027515554158193123,0.007232666015625
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2560,KQ,sza_lt65,0.4412034749984741,0.35349708360537424,0.070587158203125,0.2431793212890625,-0.08770639139309988,0.1725921630859375
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2816,KQ,sza_lt65,0.26173242926597595,0.2539105331325833,0.5354156494140625,0.5508880615234375,-0.007821896133392625,0.015472412109375
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c3072,KQ,sza_lt65,0.21082714200019836,0.20579653464560635,0.116119384765625,0.12451171875,-0.005030607354592015,0.008392333984375
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8704_c1792,KQ,sza_lt65,0.29539570212364197,0.29082492797282117,0.3726654052734375,0.39459228515625,-0.0045707741508208,0.0219268798828125
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8704_c2048,KQ,sza_lt65,0.2928081750869751,0.28886072127063156,0.2263641357421875,0.2327728271484375,-0.003947453816343538,0.00640869140625
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c0256,KQ,sza_lt65,0.41788262128829956,0.4155362430663994,0.4652099609375,0.4815521240234375,-0.0023463782219001472,0.0163421630859375
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c0512,KQ,sza_lt65,0.48816266655921936,0.46773020587668884,0.581024169921875,0.6526641845703125,-0.020432460682530518,0.0716400146484375
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c1536,KQ,sza_lt65,0.0010251952335238457,0.0008245709165197355,0.7566070556640625,0.7566070556640625,-0.00020062431700411019,0.0
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c1792,KQ,sza_lt65,0.31921014189720154,0.3140449997312359,0.233978271484375,0.276397705078125,-0.005165142165965642,0.04241943359375
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c2048,KQ,sza_lt65,0.2948794960975647,0.2927910461554951,0.3383941650390625,0.3492584228515625,-0.0020884499420695812,0.0108642578125
